"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
25,25,"Intercept","WCLS-Internal",-2,-2.259,5.178,1,5.653,1,5.184,0.958,0
25,25,"Intercept","WCLS-Pooled",-2,-0.551,3.104,1.668,3.248,1.741,3.426,0.943,0
25,25,"Intercept","P-WCLS-Internal",-2,-2.27,5.2,0.996,6.227,0.908,5.207,0.973,0
25,25,"Intercept","P-WCLS-Pooled",-2,-2.187,4.221,1.227,4.419,1.279,4.225,0.968,0
25,25,"Intercept","P-WCLS-Pooled-Obs",-2,-2.181,4.276,1.211,4.853,1.165,4.279,0.98,0
25,25,"Intercept","ET-WCLS-Equal",-2,-2.59,4.786,1.082,3.978,1.421,4.822,0.925,13
25,25,"Intercept","ET-WCLS-Kron",-2,-2.816,4.397,1.178,3.538,1.598,4.472,0.89,13
25,25,"Intercept","ET-WCLS",-2,-2.93,4.011,1.291,3.119,1.812,4.117,0.845,13
25,25,"Intercept","DR-WCLS",-2,-2.929,3.963,1.306,3.415,1.655,4.071,0.91,13
25,25,"Intercept","PET-WCLS",-2,-2.952,3.354,1.544,2.804,2.016,3.487,0.873,13
25,25,"Slope","WCLS-Internal",5,4.96,6.576,1,6.223,1,6.576,0.953,0
25,25,"Slope","WCLS-Pooled",5,3.501,3.68,1.787,3.431,1.814,3.974,0.945,0
25,25,"Slope","P-WCLS-Internal",5,4.963,6.548,1.004,6.808,0.914,6.548,0.973,0
25,25,"Slope","P-WCLS-Pooled",5,5.114,4.754,1.383,4.531,1.373,4.755,0.958,0
25,25,"Slope","P-WCLS-Pooled-Obs",5,5.138,4.925,1.335,5.28,1.178,4.927,0.99,0
25,25,"Slope","ET-WCLS-Equal",5,5.516,5.253,1.252,4.084,1.524,5.278,0.907,13
25,25,"Slope","ET-WCLS-Kron",5,5.538,5.118,1.285,3.863,1.611,5.146,0.865,13
25,25,"Slope","ET-WCLS",5,5.672,4.289,1.533,3.065,2.03,4.341,0.86,13
25,25,"Slope","DR-WCLS",5,5.812,4.316,1.524,3.453,1.802,4.392,0.887,13
25,25,"Slope","PET-WCLS",5,5.633,3.388,1.941,2.671,2.33,3.447,0.865,13
100,100,"Intercept","WCLS-Internal",-2,-2.216,2.977,1,2.773,1,2.985,0.935,0
100,100,"Intercept","WCLS-Pooled",-2,-0.583,1.783,1.669,1.656,1.675,2.277,0.89,0
100,100,"Intercept","P-WCLS-Internal",-2,-2.244,2.937,1.014,2.822,0.983,2.947,0.948,0
100,100,"Intercept","P-WCLS-Pooled",-2,-2.202,2.331,1.277,2.228,1.245,2.34,0.945,0
100,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.206,2.346,1.269,2.295,1.208,2.355,0.953,0
100,100,"Intercept","ET-WCLS-Equal",-2,-2.203,3.742,0.796,3.022,0.918,3.747,0.915,1
100,100,"Intercept","ET-WCLS-Kron",-2,-2.534,2.724,1.093,2.364,1.173,2.776,0.917,1
100,100,"Intercept","ET-WCLS",-2,-2.719,2.325,1.281,2.085,1.33,2.433,0.907,1
100,100,"Intercept","DR-WCLS",-2,-2.749,2.33,1.278,2.19,1.266,2.447,0.907,1
100,100,"Intercept","PET-WCLS",-2,-2.678,2.124,1.402,1.833,1.513,2.23,0.885,1
100,100,"Slope","WCLS-Internal",5,5.066,3.562,1,3.102,1,3.563,0.943,0
100,100,"Slope","WCLS-Pooled",5,3.544,2.054,1.734,1.787,1.736,2.518,0.85,0
100,100,"Slope","P-WCLS-Internal",5,5.046,3.522,1.011,3.144,0.987,3.522,0.945,0
100,100,"Slope","P-WCLS-Pooled",5,5.147,2.865,1.243,2.372,1.308,2.869,0.935,0
100,100,"Slope","P-WCLS-Pooled-Obs",5,5.15,2.837,1.256,2.54,1.221,2.84,0.948,0
100,100,"Slope","ET-WCLS-Equal",5,4.96,4.397,0.81,3.152,0.984,4.397,0.91,1
100,100,"Slope","ET-WCLS-Kron",5,5.088,3.396,1.049,2.737,1.133,3.397,0.922,1
100,100,"Slope","ET-WCLS",5,5.201,2.561,1.391,2.206,1.406,2.569,0.92,1
100,100,"Slope","DR-WCLS",5,5.294,2.625,1.357,2.36,1.314,2.641,0.935,1
100,100,"Slope","PET-WCLS",5,5.393,2.103,1.694,1.8,1.723,2.14,0.89,1
400,400,"Intercept","WCLS-Internal",-2,-1.935,1.565,1,1.482,1,1.566,0.945,0
