"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
25,25,"Intercept","WCLS-Internal",-2,-0.563,2.709,1,5.844,1,3.067,1,0
25,25,"Intercept","WCLS-Pooled",-2,2.464,1.487,1.822,3.273,1.786,4.705,1,0
25,25,"Intercept","P-WCLS-Internal",-2,-0.545,2.503,1.082,5.831,1.002,2.895,1,0
25,25,"Intercept","P-WCLS-Pooled",-2,3.202,1.134,2.39,4.559,1.282,5.324,1,0
25,25,"Intercept","P-WCLS-Pooled-Obs",-2,3.379,1.829,1.481,4.763,1.227,5.682,1,0
25,25,"Intercept","ET-WCLS-Equal",-2,-0.588,2.425,1.117,3.996,1.463,2.806,1,0
25,25,"Intercept","ET-WCLS-Kron",-2,-0.586,2.381,1.138,4.137,1.413,2.769,1,0
25,25,"Intercept","ET-WCLS",-2,-0.12,2.111,1.283,3.866,1.511,2.827,1,0
25,25,"Intercept","DR-WCLS",-2,0.275,1.848,1.466,3.701,1.579,2.931,1,0
25,25,"Intercept","PET-WCLS",-2,-1.179,0.024,111.012,3.192,1.831,0.821,1,0
25,25,"Slope","WCLS-Internal",5,5.965,0.195,1,3.684,1,0.985,1,0
25,25,"Slope","WCLS-Pooled",5,3.97,0.017,11.447,2.438,1.511,1.03,1,0
25,25,"Slope","P-WCLS-Internal",5,6.215,0.036,5.441,3.519,1.047,1.216,1,0
25,25,"Slope","P-WCLS-Pooled",5,3.058,0.297,0.657,3.628,1.015,1.965,1,0
25,25,"Slope","P-WCLS-Pooled-Obs",5,3.302,0.098,1.994,4.054,0.909,1.701,1,0
25,25,"Slope","ET-WCLS-Equal",5,7.025,0.295,0.661,2.54,1.45,2.046,1,0
25,25,"Slope","ET-WCLS-Kron",5,7.23,0.422,0.462,2.522,1.46,2.27,1,0
25,25,"Slope","ET-WCLS",5,7.23,0.292,0.667,2.31,1.594,2.249,1,0
25,25,"Slope","DR-WCLS",5,6.029,0.388,0.503,2.532,1.455,1.099,1,0
25,25,"Slope","PET-WCLS",5,5.213,0.638,0.306,2.516,1.464,0.673,1,0
100,100,"Intercept","WCLS-Internal",-2,-2.276,4.768,1,3.09,1,4.776,0.5,0
100,100,"Intercept","WCLS-Pooled",-2,-1.079,2.241,2.128,1.989,1.553,2.423,1,0
100,100,"Intercept","P-WCLS-Internal",-2,-2.349,4.795,0.994,3.099,0.997,4.808,0.5,0
100,100,"Intercept","P-WCLS-Pooled",-2,-1.54,3.893,1.225,3.274,0.944,3.921,1,0
100,100,"Intercept","P-WCLS-Pooled-Obs",-2,-1.626,3.809,1.252,3.308,0.934,3.828,1,0
100,100,"Intercept","ET-WCLS-Equal",-2,-5.912,0.353,13.495,2.936,1.052,3.928,1,0
100,100,"Intercept","ET-WCLS-Kron",-2,-7.867,1.056,4.513,2.755,1.121,5.962,0.5,0
100,100,"Intercept","ET-WCLS",-2,-5.52,1.478,3.226,2.195,1.407,3.818,0.5,0
100,100,"Intercept","DR-WCLS",-2,-5.1,2.106,2.264,2.481,1.245,3.747,0.5,0
100,100,"Intercept","PET-WCLS",-2,-5.273,1.66,2.872,2.172,1.422,3.67,0.5,0
100,100,"Slope","WCLS-Internal",5,6.191,1.914,1,3.147,1,2.254,1,0
100,100,"Slope","WCLS-Pooled",5,4.078,1.737,1.102,1.833,1.717,1.966,1,0
100,100,"Slope","P-WCLS-Internal",5,6.006,2.204,0.868,3.025,1.04,2.423,1,0
100,100,"Slope","P-WCLS-Pooled",5,4.637,3.647,0.525,2.223,1.415,3.665,1,0
100,100,"Slope","P-WCLS-Pooled-Obs",5,4.636,3.648,0.525,2.445,1.287,3.666,1,0
100,100,"Slope","ET-WCLS-Equal",5,10.096,1.819,1.052,2.915,1.08,5.411,0.5,0
100,100,"Slope","ET-WCLS-Kron",5,9.616,0.34,5.623,2.965,1.061,4.628,1,0
100,100,"Slope","ET-WCLS",5,6.738,3.085,0.62,2.393,1.315,3.541,0.5,0
100,100,"Slope","DR-WCLS",5,6.468,3.143,0.609,2.488,1.265,3.469,1,0
100,100,"Slope","PET-WCLS",5,6.467,3.009,0.636,2.016,1.561,3.348,0.5,0
400,400,"Intercept","WCLS-Internal",-2,-1.797,0.079,1,1.257,1,0.218,1,0
400,400,"Intercept","WCLS-Pooled",-2,-0.489,0.249,0.316,0.76,1.653,1.532,0.5,0
400,400,"Intercept","P-WCLS-Internal",-2,-1.81,0.004,20.857,1.258,0.999,0.19,1,0
400,400,"Intercept","P-WCLS-Pooled",-2,-2.233,0.13,0.607,0.923,1.362,0.266,1,0
400,400,"Intercept","P-WCLS-Pooled-Obs",-2,-2.254,0.186,0.424,0.93,1.351,0.315,1,0
400,400,"Intercept","ET-WCLS-Equal",-2,-1.03,0.772,0.102,1.705,0.737,1.24,1,0
400,400,"Intercept","ET-WCLS-Kron",-2,-1.618,0.208,0.379,1.205,1.043,0.435,1,0
400,400,"Intercept","ET-WCLS",-2,-1.711,0.292,0.27,1.141,1.101,0.411,1,0
400,400,"Intercept","DR-WCLS",-2,-1.694,0.188,0.419,1.184,1.061,0.359,1,0
400,400,"Intercept","PET-WCLS",-2,-2.525,0.036,2.176,0.881,1.426,0.526,1,0
400,400,"Slope","WCLS-Internal",5,6.833,0.477,1,1.305,1,1.894,1,0
400,400,"Slope","WCLS-Pooled",5,4.599,0.318,1.501,0.789,1.652,0.512,1,0
400,400,"Slope","P-WCLS-Internal",5,6.822,0.5,0.954,1.307,0.998,1.889,1,0
400,400,"Slope","P-WCLS-Pooled",5,6.381,0.311,1.533,1.011,1.29,1.416,1,0
400,400,"Slope","P-WCLS-Pooled-Obs",5,6.466,0.195,2.453,1.053,1.239,1.479,1,0
400,400,"Slope","ET-WCLS-Equal",5,6.296,0.608,0.785,1.48,0.881,1.432,1,0
400,400,"Slope","ET-WCLS-Kron",5,6.575,0.651,0.733,1.246,1.047,1.704,1,0
400,400,"Slope","ET-WCLS",5,6.588,0.56,0.852,1.158,1.127,1.684,1,0
400,400,"Slope","DR-WCLS",5,6.615,0.481,0.991,1.221,1.069,1.685,1,0
400,400,"Slope","PET-WCLS",5,6.05,0.234,2.042,0.911,1.433,1.076,1,0
1600,1600,"Intercept","WCLS-Internal",-2,-2.172,0.093,1,0.632,1,0.196,1,0
1600,1600,"Intercept","WCLS-Pooled",-2,-0.655,0.093,0.999,0.376,1.682,1.348,0,0
1600,1600,"Intercept","P-WCLS-Internal",-2,-2.158,0.099,0.936,0.637,0.993,0.186,1,0
1600,1600,"Intercept","P-WCLS-Pooled",-2,-2.187,0.135,0.689,0.519,1.218,0.231,1,0
1600,1600,"Intercept","P-WCLS-Pooled-Obs",-2,-2.176,0.048,1.941,0.526,1.201,0.182,1,0
1600,1600,"Intercept","ET-WCLS-Equal",-2,-4.894,1.795,0.052,1.656,0.382,3.405,1,0
1600,1600,"Intercept","ET-WCLS-Kron",-2,-2.453,0.084,1.103,0.612,1.033,0.461,1,0
1600,1600,"Intercept","ET-WCLS",-2,-2.373,0.037,2.521,0.607,1.041,0.375,1,0
1600,1600,"Intercept","DR-WCLS",-2,-2.388,0.061,1.536,0.627,1.008,0.392,1,0
1600,1600,"Intercept","PET-WCLS",-2,-2.164,0.202,0.459,0.515,1.228,0.261,1,0
1600,1600,"Slope","WCLS-Internal",5,4.708,0.806,1,0.694,1,0.858,1,0
1600,1600,"Slope","WCLS-Pooled",5,3.364,0.271,2.981,0.403,1.722,1.659,0,0
1600,1600,"Slope","P-WCLS-Internal",5,4.71,0.804,1.003,0.697,0.996,0.854,1,0
1600,1600,"Slope","P-WCLS-Pooled",5,4.862,0.489,1.649,0.525,1.324,0.508,1,0
1600,1600,"Slope","P-WCLS-Pooled-Obs",5,4.814,0.304,2.653,0.554,1.254,0.356,1,0
1600,1600,"Slope","ET-WCLS-Equal",5,7.87,1.489,0.542,2.77,0.251,3.233,1,0
1600,1600,"Slope","ET-WCLS-Kron",5,4.999,0.762,1.058,0.692,1.003,0.762,1,0
1600,1600,"Slope","ET-WCLS",5,4.824,0.883,0.914,0.673,1.031,0.9,1,0
1600,1600,"Slope","DR-WCLS",5,4.83,0.893,0.903,0.71,0.978,0.909,1,0
1600,1600,"Slope","PET-WCLS",5,4.922,0.301,2.676,0.508,1.368,0.311,1,0
6400,6400,"Intercept","WCLS-Internal",-2,-2.071,0.094,1,0.341,1,0.117,1,0
6400,6400,"Intercept","WCLS-Pooled",-2,-0.493,0.039,2.38,0.204,1.674,1.507,0,0
6400,6400,"Intercept","P-WCLS-Internal",-2,-2.076,0.101,0.929,0.345,0.988,0.127,1,0
6400,6400,"Intercept","P-WCLS-Pooled",-2,-2.039,0.001,104.976,0.288,1.185,0.039,1,0
6400,6400,"Intercept","P-WCLS-Pooled-Obs",-2,-2.047,0.007,13.286,0.29,1.177,0.048,1,0
6400,6400,"Intercept","ET-WCLS-Equal",-2,-18.157,16.183,0.006,2.144,0.159,22.868,0.5,0
6400,6400,"Intercept","ET-WCLS-Kron",-2,-2.155,0.179,0.525,0.338,1.009,0.236,1,0
6400,6400,"Intercept","ET-WCLS",-2,-2.169,0.156,0.602,0.333,1.025,0.23,1,0
6400,6400,"Intercept","DR-WCLS",-2,-2.074,0.058,1.607,0.343,0.996,0.094,1,0
6400,6400,"Intercept","PET-WCLS",-2,-2.044,0.02,4.588,0.283,1.208,0.049,1,0
6400,6400,"Slope","WCLS-Internal",5,4.664,0.249,1,0.383,1,0.418,1,0
6400,6400,"Slope","WCLS-Pooled",5,3.273,0.128,1.948,0.225,1.704,1.732,0,0
6400,6400,"Slope","P-WCLS-Internal",5,4.665,0.245,1.019,0.385,0.995,0.414,1,0
6400,6400,"Slope","P-WCLS-Pooled",5,4.798,0.141,1.766,0.299,1.28,0.246,1,0
6400,6400,"Slope","P-WCLS-Pooled-Obs",5,4.808,0.123,2.025,0.311,1.229,0.228,1,0
6400,6400,"Slope","ET-WCLS-Equal",5,9.71,5.263,0.047,1.26,0.304,7.062,0.5,0
6400,6400,"Slope","ET-WCLS-Kron",5,4.638,0.167,1.495,0.388,0.985,0.398,1,0
6400,6400,"Slope","ET-WCLS",5,4.703,0.157,1.588,0.376,1.017,0.336,1,0
6400,6400,"Slope","DR-WCLS",5,4.613,0.229,1.088,0.393,0.975,0.449,1,0
6400,6400,"Slope","PET-WCLS",5,4.857,0.109,2.283,0.286,1.339,0.18,1,0
100,25,"Intercept","WCLS-Internal",-2,-3.086,3.858,1,2.594,1,4.008,0.5,0
100,25,"Intercept","WCLS-Pooled",-2,-2.128,2.185,1.766,2.256,1.15,2.188,1,0
100,25,"Intercept","P-WCLS-Internal",-2,-3.166,3.929,0.982,2.652,0.978,4.099,0.5,0
100,25,"Intercept","P-WCLS-Pooled",-2,-2.761,2.67,1.445,2.573,1.008,2.776,1,0
100,25,"Intercept","P-WCLS-Pooled-Obs",-2,-2.891,2.535,1.522,2.556,1.015,2.687,1,0
100,25,"Intercept","ET-WCLS-Equal",-2,-4.143,2.244,1.719,2.514,1.032,3.103,0.5,0
100,25,"Intercept","ET-WCLS-Kron",-2,-3.973,0.493,7.83,2.201,1.179,2.034,1,0
100,25,"Intercept","ET-WCLS",-2,-5.14,0.267,14.452,1.903,1.363,3.151,1,0
100,25,"Intercept","DR-WCLS",-2,-3.046,2.786,1.385,2.182,1.189,2.976,1,0
100,25,"Intercept","PET-WCLS",-2,-4.153,2.037,1.895,1.937,1.339,2.964,0.5,0
100,25,"Slope","WCLS-Internal",5,8.201,2.305,1,3.652,1,3.944,0.5,0
100,25,"Slope","WCLS-Pooled",5,6.65,2.005,1.149,3.062,1.193,2.597,0.5,0
100,25,"Slope","P-WCLS-Internal",5,8.196,2.29,1.006,3.698,0.988,3.931,0.5,0
100,25,"Slope","P-WCLS-Pooled",5,7.177,2.362,0.976,3.326,1.098,3.212,0.5,0
100,25,"Slope","P-WCLS-Pooled-Obs",5,7.725,1.79,1.288,3.628,1.007,3.26,0.5,0
100,25,"Slope","ET-WCLS-Equal",5,7.823,0.146,15.755,2.615,1.397,2.827,1,0
100,25,"Slope","ET-WCLS-Kron",5,8.107,1.153,2,2.793,1.308,3.314,0.5,0
100,25,"Slope","ET-WCLS",5,10.121,0.045,50.852,1.947,1.876,5.121,0,0
100,25,"Slope","DR-WCLS",5,7.937,2.549,0.904,2.252,1.622,3.889,0.5,0
100,25,"Slope","PET-WCLS",5,8.182,1.887,1.221,2.115,1.727,3.7,0.5,0
100,400,"Intercept","WCLS-Internal",-2,-4.543,0.578,1,2.694,1,2.608,1,0
100,400,"Intercept","WCLS-Pooled",-2,0.987,0.402,1.438,1.053,2.559,3.014,0,0
100,400,"Intercept","P-WCLS-Internal",-2,-4.676,0.648,0.893,2.8,0.962,2.753,1,0
100,400,"Intercept","P-WCLS-Pooled",-2,-0.935,0.959,0.603,2.205,1.222,1.433,1,0
100,400,"Intercept","P-WCLS-Pooled-Obs",-2,-0.971,1.03,0.561,2.244,1.201,1.456,1,0
100,400,"Intercept","ET-WCLS-Equal",-2,2.776,2.736,0.211,4.614,0.584,5.504,1,0
100,400,"Intercept","ET-WCLS-Kron",-2,-2.632,1.046,0.553,2.423,1.112,1.222,1,0
100,400,"Intercept","ET-WCLS",-2,-2.825,1.214,0.476,2.343,1.15,1.467,1,0
100,400,"Intercept","DR-WCLS",-2,-2.437,0.745,0.776,2.562,1.052,0.864,1,0
100,400,"Intercept","PET-WCLS",-2,-2.117,0.036,16.141,1.836,1.467,0.122,1,0
100,400,"Slope","WCLS-Internal",5,6.383,0.589,1,2.882,1,1.503,1,0
100,400,"Slope","WCLS-Pooled",5,3.154,0.208,2.829,0.824,3.498,1.858,0.5,0
100,400,"Slope","P-WCLS-Internal",5,6.302,0.658,0.895,2.881,1,1.459,1,0
100,400,"Slope","P-WCLS-Pooled",5,5.251,1.116,0.528,1.738,1.658,1.144,1,0
100,400,"Slope","P-WCLS-Pooled-Obs",5,5.311,1.137,0.518,1.809,1.593,1.179,1,0
100,400,"Slope","ET-WCLS-Equal",5,4.996,1.016,0.58,2.412,1.195,1.016,1,0
100,400,"Slope","ET-WCLS-Kron",5,5.962,0.446,1.322,2.481,1.162,1.06,1,0
100,400,"Slope","ET-WCLS",5,6.08,0.39,1.51,2.197,1.312,1.148,1,0
100,400,"Slope","DR-WCLS",5,6.222,0.773,0.762,2.517,1.145,1.446,1,0
100,400,"Slope","PET-WCLS",5,6.005,0.514,1.147,1.555,1.853,1.128,1,0
100,1600,"Intercept","WCLS-Internal",-2,-2.787,0.607,1,2.976,1,0.994,1,0
100,1600,"Intercept","WCLS-Pooled",-2,0.508,0.434,1.398,0.434,6.856,2.546,0,0
100,1600,"Intercept","P-WCLS-Internal",-2,-2.826,0.764,0.795,2.95,1.009,1.125,1,0
100,1600,"Intercept","P-WCLS-Pooled",-2,-1.579,0.667,0.91,0.801,3.714,0.789,1,0
100,1600,"Intercept","P-WCLS-Pooled-Obs",-2,-1.658,0.66,0.92,0.798,3.73,0.743,1,0
100,1600,"Intercept","ET-WCLS-Equal",-2,-2.46,1.842,0.33,1.973,1.508,1.898,1,0
100,1600,"Intercept","ET-WCLS-Kron",-2,-2.731,1.836,0.331,1.943,1.531,1.977,1,0
100,1600,"Intercept","ET-WCLS",-2,-3.185,2.173,0.279,1.722,1.728,2.475,0.5,0
100,1600,"Intercept","DR-WCLS",-2,-3.388,2.254,0.269,1.944,1.531,2.647,1,0
100,1600,"Intercept","PET-WCLS",-2,-1.507,0.469,1.296,0.726,4.099,0.68,1,0
100,1600,"Slope","WCLS-Internal",5,5.157,3.446,1,2.634,1,3.449,1,0
100,1600,"Slope","WCLS-Pooled",5,1.955,0.384,8.962,0.473,5.566,3.07,0,0
100,1600,"Slope","P-WCLS-Internal",5,5.177,3.35,1.028,2.59,1.017,3.355,1,0
100,1600,"Slope","P-WCLS-Pooled",5,4.222,0.941,3.661,0.899,2.928,1.221,0.5,0
100,1600,"Slope","P-WCLS-Pooled-Obs",5,4.284,0.955,3.607,0.883,2.982,1.194,0.5,0
100,1600,"Slope","ET-WCLS-Equal",5,4.204,2.36,1.46,1.905,1.382,2.491,0.5,0
100,1600,"Slope","ET-WCLS-Kron",5,3.903,2.077,1.659,2.076,1.269,2.348,0.5,0
100,1600,"Slope","ET-WCLS",5,4.359,2.279,1.512,1.648,1.598,2.368,1,0
100,1600,"Slope","DR-WCLS",5,4.126,2.866,1.202,1.938,1.359,2.996,0.5,0
100,1600,"Slope","PET-WCLS",5,4.144,0.63,5.465,0.75,3.511,1.063,0.5,0
100,6400,"Intercept","WCLS-Internal",-2,-5.231,3.331,1,2.108,1,4.641,0.5,0
100,6400,"Intercept","WCLS-Pooled",-2,0.607,0.21,15.883,0.205,10.26,2.615,0,0
100,6400,"Intercept","P-WCLS-Internal",-2,-5.219,3.317,1.004,2.133,0.988,4.622,0.5,0
100,6400,"Intercept","P-WCLS-Pooled",-2,-2.396,0.568,5.87,0.491,4.289,0.692,0.5,0
100,6400,"Intercept","P-WCLS-Pooled-Obs",-2,-2.377,0.593,5.619,0.497,4.239,0.702,0.5,0
100,6400,"Intercept","ET-WCLS-Equal",-2,-4.703,2.515,1.324,1.586,1.329,3.693,0.5,0
100,6400,"Intercept","ET-WCLS-Kron",-2,-4.33,2.09,1.594,1.745,1.208,3.13,0.5,0
100,6400,"Intercept","ET-WCLS",-2,-4.457,2.657,1.254,1.195,1.764,3.618,0.5,0
100,6400,"Intercept","DR-WCLS",-2,-4.652,2.83,1.177,1.327,1.589,3.878,0.5,0
100,6400,"Intercept","PET-WCLS",-2,-2.395,0.626,5.318,0.458,4.606,0.74,0.5,0
100,6400,"Slope","WCLS-Internal",5,8.231,1.066,1,1.904,1,3.402,0.5,0
